class,R01-Paint figures and connections,R02-Create figures and connections,R03-Delete figures,R04-Delete connections,R05-Select and deselect figures,R06-Move- scale- or rotate figures,R07-Change properties of figures,R08-Edit  text in figures,R09-Align figures,R10-Change z-ordering,R11-Grouping and ungrouping figures,R12-Launch the application,R13-Open an existing drawing,R14-Save a drawing,R15-Scalability:  Drawings should be as large as possible,R16-Performance: Quickly redraw figures if changed,R17-Performance: Quickly locate figures based on x-y coordinates,R18-Interoperability: Support data exchange via the clipboard,R19-Usability: Support operating system specific user interfaces,R20-Performance: Strive for a short startup latency,R21-Recoverability: periodic auto-save
org.jhotdraw.gui.plaf.palette.BackdropBorder,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.Images,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.MultiIcon,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteBorders,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteButtonBorder,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteButtonUI,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteFontChooserPreviewPanel,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteFontChooserSelectionPanel,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteFontChooserUI,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteFormattedTextFieldUI,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteLabelUI,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteLazyActionMap,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteLookAndFeel,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteRootPaneUI,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteSliderUI,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteTextComponentBorder,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteTextFieldUI,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteToolBarBorder,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteToolBarUI,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.PaletteUtilities,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.palette.SliderThumbIcon,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.plaf.FontChooserUI,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.AbstractAttributeEditorHandler,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.Arrangeable,,,,,,,,,,,,,,,,,,,x,,
org.jhotdraw.gui.AttributeEditor,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.DisclosureIcon,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.DrawingAttributeEditorHandler,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.EmptyIcon,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.FigureAttributeEditorHandler,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.JAttributeSlider,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.JAttributeSliderBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.JAttributeTextArea,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.JAttributeTextAreaBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.JAttributeTextField,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.JAttributeTextFieldBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.JDisclosureToolBar,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.JDisclosureToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.JFontChooser,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.JLifeFormattedTexAreaBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.JLifeFormattedTextArea,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.JLifeFormattedTextField,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.gui.JLifeFormattedTextFieldBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.JPopupButton,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.JPopupButtonBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.JSheet,,,,,,,,,,,,,,,,,,,x,,
org.jhotdraw.gui.MDIDesktopPane,,,,,,,,,,,,,,,,,,,x,,
org.jhotdraw.gui.PlacardScrollPaneLayout,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.ToolBarLayout,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.gui.Worker,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.io.Base64,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.io.BoundedRangeInputStream,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.io.ExtensionFileFilter,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.io.StreamPosTokenizer,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.samples.color.JMixer,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.color.WheelsAndSlidersMain,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.draw.DrawApplet,,,,,,,,,,,,x,x,,,,,,,x,x
org.jhotdraw.samples.draw.DrawApplicationModel,,,,,,,,,,,,x,,,,,,,,,
org.jhotdraw.samples.draw.DrawFigureFactory,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.samples.draw.DrawingPanel,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.draw.DrawingPanelBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.draw.DrawLiveConnectApplet,,,,,,,,,,,,x,x,x,,,,,,,
org.jhotdraw.samples.draw.DrawView,,,,,,,,,,,,,x,x,,,,,,,x
org.jhotdraw.samples.draw.Main,,,,,,,,,,,,x,,,,,,,,x,
org.jhotdraw.samples.font.FontChooserMain,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.BezierDemo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.ConnectingFiguresSample,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.CreationToolSample,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.DefaultDOMStorableSample,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.DnDMultiEditorSample,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.EditorSample,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.FileIconsSample,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
org.jhotdraw.samples.mini.LabeledLineConnectionFigureSample,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.LayouterSample,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.MultiEditorSample,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.QuickAndDirtyDOMStorableSample,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.SelectionToolSample,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.SmartConnectionFigureSample,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.mini.StraightLineFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.net.figures.NodeFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.net.Main,,,,,,,,,,,,x,,,,,,,,x,
org.jhotdraw.samples.net.NetApplet,,,,,,,,,,,,x,x,,,,,,,x,x
org.jhotdraw.samples.net.NetApplicationModel,,,,,,,,,,,,x,,,,,,,,,
org.jhotdraw.samples.net.NetFactory,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.samples.net.NetPanel,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.net.NetView,,,,,,,,,,,,,x,x,,,,,,,x
org.jhotdraw.samples.odg.action.CombineAction,,x,,,,,,,,,x,,,,,,,,,,
org.jhotdraw.samples.odg.action.SplitAction,,,x,,,,,,,,x,,,,,,,,,,
org.jhotdraw.samples.odg.action.TogglePropertiesPanelAction,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.figures.ODGAttributedFigure,x,x,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.figures.ODGBezierFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.figures.ODGEllipseFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.figures.ODGFigure,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.figures.ODGGroupFigure,x,x,,,,,,,,,x,,,,,,,,,,
org.jhotdraw.samples.odg.figures.ODGPathFigure,x,x,,,,,,,,,x,,,,,,,,,,
org.jhotdraw.samples.odg.figures.ODGPathOutlineHandle,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.figures.ODGRectFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.figures.ODGRectRadiusHandle,x,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.geom.EnhancedPath,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.io.ODGFigureFactory,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.samples.odg.io.ODGInputFormat,,,,,,,,,,,,,x,,,,,x,,,
org.jhotdraw.samples.odg.io.ODGStylesReader,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.samples.odg.Gradient,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.Main,,,,,,,,,,,,x,,,,,,,,x,
org.jhotdraw.samples.odg.ODGApplicationModel,,,,,,,,,,,,x,,,,,,,,,
org.jhotdraw.samples.odg.ODGAttributeKeys,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.ODGConstants,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.samples.odg.ODGDrawing,,,,,,,x,,,,,,x,x,,,,,,,
org.jhotdraw.samples.odg.ODGDrawingPanel,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.ODGDrawingPanelBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.ODGPropertiesPanel,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.ODGPropertiesPanelBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.odg.ODGView,,,,,,,,,,,,,x,x,,,,,,,x
org.jhotdraw.samples.odg.PathTool,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.pert.figures.DependencyFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.pert.figures.SeparatorLineFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.pert.figures.TaskFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.pert.Main,,,,,,,,,,,,x,,,,,,,,x,
org.jhotdraw.samples.pert.PertApplet,,,,,,,,,,,,x,,,,,,,,x,x
org.jhotdraw.samples.pert.PertApplicationModel,,,,,,,,,,,,x,,,,,,,,,
org.jhotdraw.samples.pert.PertFactory,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.samples.pert.PertPanel,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.pert.PertView,,,,,,,,,,,,,x,x,,,,,,,x
org.jhotdraw.samples.svg.action.CombineAction,,x,,,,,,,,,x,,,,,,,,,,
org.jhotdraw.samples.svg.action.SplitAction,,,x,,,,,,,,x,,,,,,,,,,
org.jhotdraw.samples.svg.action.ViewSourceAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.ConvexHullOutlineHandle,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.LinkHandle,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGAttributedFigure,x,x,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGBezierFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGEllipseFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGGroupFigure,x,x,,,,,,,,,x,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGImageFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGPathFigure,x,x,,,,,,,,,x,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGPathOutlineHandle,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGRectFigure,x,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGRectRadiusHandle,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGRectRadiusUndoableEdit,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGTextAreaFigure,x,x,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.samples.svg.figures.SVGTextFigure,x,x,,,,,,x,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.AbstractToolBar,,,,,,,,,,,,,,,,,,,,x,
org.jhotdraw.samples.svg.gui.AbstractToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.ActionsToolBar,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.ActionsToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.AlignToolBar,,,,,,,,,x,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.AlignToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.ArrangeToolBar,,,,,,x,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.ArrangeToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.CanvasToolBar,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.CanvasToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.DrawingComponent,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.DrawingComponentRepainter,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.DrawingOpacityIcon,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.FigureToolBar,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.FigureToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.FillToolBar,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.FillToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.FontToolBar,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.FontToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.LinkToolBar,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.LinkToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.MessagePanel,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.ProgressIndicator,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.SelectionComponentDisplayer,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.SelectionOpacityIcon,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.ServerAuthenticationException,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.StrokeToolBar,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.StrokeToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.SummaryToolBar,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.SummaryToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.ToolsToolBar,,x,,,x,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.ToolsToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.ViewToolBar,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.gui.ViewToolBarBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.io.ClientHttpRequest,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.samples.svg.io.DefaultSVGFigureFactory,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.samples.svg.io.ImageMapOutputFormat,,,,,,,,,,,,,,x,,,,,,,
org.jhotdraw.samples.svg.io.SVGElementFactory,,,,,,,,,,,,,,x,,,,,,,
org.jhotdraw.samples.svg.io.SVGFigureFactory,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.samples.svg.io.SVGInputFormat,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.samples.svg.io.SVGOutputFormat,,,,,,,,,,,,,,x,,,,,,,
org.jhotdraw.samples.svg.io.SVGZInputFormat,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.samples.svg.io.SVGZOutputFormat,,,,,,,,,,,,,,x,,,,,,,
org.jhotdraw.samples.svg.Gradient,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.LinearGradient,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.Main,,,,,,,,,,,,x,,,,,,,,x,
org.jhotdraw.samples.svg.PathTool,,x,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.RadialGradient,x,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.SVGApplet,,,,,,,,,,,,x,x,,,,,,,x,x
org.jhotdraw.samples.svg.SVGApplicationModel,,,,,,,,,,,,x,,,,,,,,,
org.jhotdraw.samples.svg.SVGAttributeKeys,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.SVGConstants,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.samples.svg.SVGCreateFromFileTool,,x,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.samples.svg.SVGDrawingPanel,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.SVGDrawingPanelBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.SVGPropertiesPanelBeanInfo,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.svg.SVGView,,,,,,,,,,,,,x,x,,,,,,,x
org.jhotdraw.samples.teddy.action.FindAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.action.ToggleLineNumbersAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.action.ToggleLineWrapAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.action.ToggleStatusBarAction,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.io.LFWriter,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.regex.Matcher,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.regex.MatchType,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.text.NumberedEditorKit,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.text.NumberedParagraphView,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.text.NumberedViewFactory,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.CharacterSetAccessory,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.FindDialog,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.JEditorArea,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.samples.teddy.Main,,,,,,,,,,,,x,,,,,,,,x,
org.jhotdraw.samples.teddy.TeddyApplicationModel,,,,,,,,,,,,x,,,,,,,,,
org.jhotdraw.samples.teddy.TeddyView,,,,,,,,,,,,x,,,,,,,,,x
org.jhotdraw.text.ColorFormatter,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.text.FontFormatter,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.text.JavaNumberFormatter,,,,,,,x,,,,,,,,,,,,,,
org.jhotdraw.undo.CompositeEdit,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.undo.NonUndoableEdit,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.undo.UndoRedoManager,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.util.prefs.PreferencesUtil,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.util.prefs.ToolBarPrefsHandler,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.util.Images,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.util.LocaleUtil,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.util.Methods,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.util.ResourceBundleUtil,,,,,,,,,,,,,,,,,,,x,,
org.jhotdraw.util.ReversedList,,,,,,,,,,,,,,,,,,,,,
org.jhotdraw.xml.css.CSSParser,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.xml.css.CSSRule,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.xml.css.StyleManager,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.xml.DefaultDOMFactory,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.xml.DOMFactory,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.xml.DOMInput,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.xml.DOMOutput,,,,,,,,,,,,,,x,,,,,,,
org.jhotdraw.xml.DOMStorable,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.xml.JavaxDOMInput,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.xml.JavaxDOMOutput,,,,,,,,,,,,,,x,,,,,,,
org.jhotdraw.xml.NanoXMLDOMInput,,,,,,,,,,,,,x,,,,,,,,
org.jhotdraw.xml.NanoXMLDOMOutput,,,,,,,,,,,,,,x,,,,,,,
org.jhotdraw.xml.QuickAndDirtyDOMFactory,,,,,,,,,,,,,x,x,,,,,,,
org.jhotdraw.xml.XMLTransferable,,,,,,,,,,,,,,,,,,x,,,
