Nr,Class,Methods / Requirements,Signature,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9
239,de.java_chess.javaChess.renderer2d.ControlLayer,access$0,(Lde/java_chess/javaChess/renderer2d/ControlLayer;)Lde/java_chess/javaChess/GameController;,,,,,,x,x,,,
240,de.java_chess.javaChess.renderer2d.ControlLayer,getController,()Lde/java_chess/javaChess/GameController;,x,,,,,x,x,,,
241,de.java_chess.javaChess.pgn.PGNTokenTypes,-init-,(Lde/java_chess/javaChess/position/Position;Lde/java_chess/javaChess/position/Position;Z)V,,,,x,,,,,,
242,de.java_chess.javaChess.pgn.PGNTokenTypes,setSource,(Lde/java_chess/javaChess/position/Position;)V,,,,x,,,,,,
243,de.java_chess.javaChess.pgn.PGNTokenTypes,setDestination,(Lde/java_chess/javaChess/position/Position;)V,,,,x,,,,,,
244,de.java_chess.javaChess.pgn.PGNTokenTypes,setCapture,(Z)V,,,,x,,,,,,
245,de.java_chess.javaChess.GameController,userPly,(Lde/java_chess/javaChess/ply/Ply;)V,,,,,,,x,,,
246,de.java_chess.javaChess.GameController,getEngine,()Lde/java_chess/javaChess/engine/ChessEngine;,,,,,,x,x,,,
247,de.java_chess.javaChess.engine.ChessEngineImpl,stopPermanentBrain,()V,,,,,,x,x,,,
248,de.java_chess.javaChess.engine.ChessEngineImpl,getPermanentBrain,()Lde/java_chess/javaChess/engine/permanent_brain/PermanentBrain;,,,,,,x,x,,,
249,de.java_chess.javaChess.engine.permanent_brain.PermanentBrain,stopComputation,()V,,,,,,x,x,,,
250,de.java_chess.javaChess.GameController,convertUserPly,(Lde/java_chess/javaChess/ply/Ply;)Lde/java_chess/javaChess/ply/Ply;,,,,x,,,,,,
251,de.java_chess.javaChess.pgn.PGNTokenTypes,getSource,()Lde/java_chess/javaChess/position/Position;,,,,x,,,,,,
252,de.java_chess.javaChess.pgn.PGNTokenTypes,getDestination,()Lde/java_chess/javaChess/position/Position;,,,,,,x,x,,,
253,de.java_chess.javaChess.GameController,getBoard,()Lde/java_chess/javaChess/board/Board;,,,,,,x,x,,,
254,de.java_chess.javaChess.engine.ChessEngineImpl,validateUserPly,(Lde/java_chess/javaChess/ply/Ply;)Z,,,,,,x,x,,,
255,de.java_chess.javaChess.engine.permanent_brain.PermanentBrain,getUserPlies,()[Lde/java_chess/javaChess/ply/Ply;,,,,,,x,x,,,
256,de.java_chess.javaChess.engine.permanent_brain.PermanentBrain,getEngine,()Lde/java_chess/javaChess/engine/ChessEngine;,,,,,,x,x,,,
257,de.java_chess.javaChess.engine.ChessEngineImpl,getUserPlies,()[Lde/java_chess/javaChess/ply/Ply;,,,,,,x,x,,,
258,de.java_chess.javaChess.engine.ChessEngineImpl,getBoard,()Lde/java_chess/javaChess/board/Board;,,,,,,x,x,,,
259,de.java_chess.javaChess.engine.ChessEngineImpl,isWhite,()Z,,,,,,x,x,,,
260,de.java_chess.javaChess.engine.PlyGenerator,getPliesForColor,(Lde/java_chess/javaChess/bitboard/BitBoard;Z)[Lde/java_chess/javaChess/ply/Ply;,,,,,,x,x,,,
261,de.java_chess.javaChess.engine.PlyGenerator,setBoard,(Lde/java_chess/javaChess/bitboard/BitBoard;)V,,,,,,x,x,,,
262,de.java_chess.javaChess.engine.PlyGenerator,getPliesForColor,(Z)[Lde/java_chess/javaChess/ply/Ply;,,,,,,x,x,,,
263,de.java_chess.javaChess.engine.PlyGenerator,resetPlies,()V,,,,,,x,x,,,
264,de.java_chess.javaChess.engine.PlyGenerator,getBoard,()Lde/java_chess/javaChess/bitboard/BitBoard;,,,,,,x,x,,,
265,de.java_chess.javaChess.bitboard.BitBoardImpl,getEmptySquares,()J,,,,,,x,x,,,
266,de.java_chess.javaChess.bitboard.BitBoardImpl,getAllPiecesForColor,(Z)J,,,,,,x,x,,,
267,de.java_chess.javaChess.bitboard.BitBoardImpl,getPositionOfPieces,(I)J,,,,,,x,x,,,
268,de.java_chess.javaChess.engine.PlyGenerator,addPliesForKnights,()V,,,,x,,,,,,
269,de.java_chess.javaChess.pgn.PGNParser,-clinit-,()V,,,,x,,,,,,
270,de.java_chess.javaChess.pgn.PGNParser,getHighestBit,(J)I,,,,,,x,x,,,
271,de.java_chess.javaChess.engine.PlyGenerator,addAbsolutePlies,(JIII)V,,,,,,x,x,,,
272,de.java_chess.javaChess.engine.PlyGenerator,addRegularPly,(IIZS)V,,,,,,x,x,,,
273,de.java_chess.javaChess.engine.PlyGenerator,addPly,(Lde/java_chess/javaChess/ply/Ply;S)V,,,,,,x,x,,,
274,de.java_chess.javaChess.engine.PlyGenerator,getAnalyzer,()Lde/java_chess/javaChess/engine/BitBoardAnalyzer;,,,,,,x,x,,,
275,de.java_chess.javaChess.bitboard.BitBoardImpl,getBoardAfterPly,(Lde/java_chess/javaChess/ply/Ply;)Lde/java_chess/javaChess/board/Board;,,,,,,x,x,,,
276,de.java_chess.javaChess.bitboard.BitBoardImpl,clone,()Ljava/lang/Object;,,,,,,x,x,,,
277,de.java_chess.javaChess.bitboard.BitBoardImpl,doPly,(Lde/java_chess/javaChess/ply/Ply;)V,,,,,,x,x,,,
278,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,isInCheck,(Lde/java_chess/javaChess/bitboard/BitBoard;Z)Z,,,,,,x,x,,,
279,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,setBoard,(Lde/java_chess/javaChess/bitboard/BitBoard;)V,,,,,,x,x,,,
280,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,isInCheck,(Z)Z,,,,,,x,x,,,
281,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,getBoard,()Lde/java_chess/javaChess/bitboard/BitBoard;,,,,,,x,x,,,
282,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,getPlyGenerator,()Lde/java_chess/javaChess/engine/PlyGenerator;,,,,,,x,x,,,
283,de.java_chess.javaChess.engine.PlyGenerator,getKnightPlies,(I)J,,,,x,,,,,,
284,de.java_chess.javaChess.pgn.GameLoader,-init-,(Lde/java_chess/javaChess/ply/Ply;S)V,,,,x,,,,,,
285,de.java_chess.javaChess.pgn.GameLoader,setPly,(Lde/java_chess/javaChess/ply/Ply;)V,,,,x,,,,,,
286,de.java_chess.javaChess.pgn.GameLoader,setScore,(S)V,,,,,,x,x,,,
287,de.java_chess.javaChess.engine.PlyGenerator,addPliesForBishops,()V,,,,,,x,x,,,
288,de.java_chess.javaChess.engine.PlyGenerator,addPliesForBishopPos,(I)V,,,,,,x,x,,,
289,de.java_chess.javaChess.engine.PlyGenerator,addPliesForRooks,()V,,,,,,x,x,,,
290,de.java_chess.javaChess.engine.PlyGenerator,addPliesForRookPos,(I)V,,,,,,x,x,,,
291,de.java_chess.javaChess.engine.PlyGenerator,addPliesForQueens,()V,,,,,,x,x,,,
292,de.java_chess.javaChess.engine.PlyGenerator,addPliesForQueenPos,(I)V,,,,,,x,x,,,
293,de.java_chess.javaChess.engine.PlyGenerator,addPliesForPawns,()V,,,,,,x,x,,,
294,de.java_chess.javaChess.engine.PlyGenerator,addRelativePliesUpward,(JIII)V,,,,,,x,x,,,
295,de.java_chess.javaChess.engine.PlyGenerator,getLastPly,()Lde/java_chess/javaChess/ply/Ply;,,,,,,x,x,,,
296,de.java_chess.javaChess.engine.PlyGenerator,getGame,()Lde/java_chess/javaChess/game/Game;,,,,,,x,x,,,
297,de.java_chess.javaChess.game.GameImpl,getLastPly,()Lde/java_chess/javaChess/ply/Ply;,,,,,,x,x,,,
298,de.java_chess.javaChess.game.GameImpl,getLastGameStatus,()Lde/java_chess/javaChess/game/GameImpl$GameStatus;,,,,,,x,x,,,
299,de.java_chess.javaChess.util.UnsynchronizedArrayStack,empty,()Z,,,,,,x,x,,,
300,de.java_chess.javaChess.engine.PlyGenerator,addPliesForKing,()V,,,,,,x,x,,,
301,de.java_chess.javaChess.game.GameImpl,hasBeenMoved,(Lde/java_chess/javaChess/position/Position;)Z,,,,,,x,x,,,
302,de.java_chess.javaChess.engine.PlyGenerator,getHashtable,()Lde/java_chess/javaChess/engine/hashtable/PlyHashtable;,,,,,,x,x,,,
303,de.java_chess.javaChess.engine.hashtable.PlyHashtableImpl,getPly,(Lde/java_chess/javaChess/board/Board;Z)Lde/java_chess/javaChess/ply/Ply;,,,,,,x,x,,,
304,de.java_chess.javaChess.engine.hashtable.PlyHashtableEntryImpl,hashKey,(Lde/java_chess/javaChess/board/Board;Z)J,,,,,,x,,,,
305,de.java_chess.javaChess.engine.hashtable.ZobristKeyImpl,-clinit-,()V,,,,,,x,x,,,
306,de.java_chess.javaChess.engine.hashtable.ZobristKeyImpl,getInstance,()Lde/java_chess/javaChess/engine/hashtable/ZobristKeyImpl;,,,,,,x,,,,
307,de.java_chess.javaChess.engine.hashtable.ZobristKeyImpl,-init-,()V,,,,,,x,x,,,
308,de.java_chess.javaChess.engine.hashtable.ZobristKeyImpl,computeKey,(Lde/java_chess/javaChess/bitboard/BitBoard;Z)J,,,,,,x,x,,,
309,de.java_chess.javaChess.engine.PlyGenerator,presortPlies,()V,,,,,,x,x,,,
310,de.java_chess.javaChess.engine.PlyGenerator,quickersort,(II)V,,,,x,,,,,,
311,de.java_chess.javaChess.pgn.GameLoader,getScore,()S,,,,,,x,x,,,
312,de.java_chess.javaChess.engine.PlyGenerator,shakersort,(II)V,,,,x,,,,,,
313,de.java_chess.javaChess.pgn.GameLoader,getPly,()Lde/java_chess/javaChess/ply/Ply;,,,,,,x,x,,,
314,de.java_chess.javaChess.engine.permanent_brain.PermanentBrain,resetUserPlies,()V,,,,x,,,,,,
315,de.java_chess.javaChess.pgn.PGNTokenTypes,equals,(Lde/java_chess/javaChess/ply/Ply;)Z,,,,,,x,x,,,
316,de.java_chess.javaChess.position.PositionImpl,equals,(Lde/java_chess/javaChess/position/Position;)Z,,,,,,x,x,,,
317,de.java_chess.javaChess.engine.opening_book.OpeningBookImpl,doUserPly,(Lde/java_chess/javaChess/ply/Ply;)V,,,,,,x,x,,,
318,de.java_chess.javaChess.GameController,doPly,(Lde/java_chess/javaChess/ply/Ply;)V,,,,,,x,x,,,
319,de.java_chess.javaChess.notation.PlyNotationImpl,-init-,(Lde/java_chess/javaChess/ply/Ply;Lde/java_chess/javaChess/piece/Piece;)V,,,,,,x,x,,,
320,de.java_chess.javaChess.notation.PlyNotationImpl,setPly,(Lde/java_chess/javaChess/ply/Ply;)V,,,,,,x,x,,,
321,de.java_chess.javaChess.notation.PlyNotationImpl,setPiece,(Lde/java_chess/javaChess/piece/Piece;)V,,,,,,x,x,,,
322,de.java_chess.javaChess.notation.PlyNotationImpl,computeStringRepresentation,()V,,,,,,x,x,,,
323,de.java_chess.javaChess.notation.PlyNotationImpl,getPly,()Lde/java_chess/javaChess/ply/Ply;,,,,,,x,x,,,
324,de.java_chess.javaChess.notation.PlyNotationImpl,getPiece,()Lde/java_chess/javaChess/piece/Piece;,,,,x,,,,,,
325,de.java_chess.javaChess.pgn.PGNTokenTypes,toString,()Ljava/lang/String;,,,,,,x,x,,,
326,de.java_chess.javaChess.position.PositionImpl,toSquareName,()Ljava/lang/String;,,,,,,x,x,,,
327,de.java_chess.javaChess.position.PositionImpl,getLineIndex,()I,,,,,,x,x,,,
328,de.java_chess.javaChess.position.PositionImpl,getRowIndex,()I,,,,,,x,x,,,
329,de.java_chess.javaChess.notation.PlyNotationImpl,isCapture,()Z,,,,x,,,,,,
330,de.java_chess.javaChess.pgn.PGNTokenTypes,isCapture,()Z,,,,,,x,x,,,
331,de.java_chess.javaChess.notation.PlyNotationImpl,isCheckMate,()Z,,,,,,x,x,,,
332,de.java_chess.javaChess.notation.PlyNotationImpl,isCheck,()Z,,,,,,x,x,,,
333,de.java_chess.javaChess.GameController,getGame,()Lde/java_chess/javaChess/game/Game;,,,,,,x,x,,,
334,de.java_chess.javaChess.game.GameImpl,doPly,(Lde/java_chess/javaChess/ply/Ply;)V,,,,,,x,x,,,
335,de.java_chess.javaChess.game.GameImpl$GameStatus,-init-,(Lde/java_chess/javaChess/game/GameImpl;Lde/java_chess/javaChess/ply/Ply;)V,,,,,,x,x,,,
336,de.java_chess.javaChess.game.GameImpl$GameStatus,-init-,(Lde/java_chess/javaChess/game/GameImpl;Lde/java_chess/javaChess/ply/Ply;J)V,,,,,,x,x,,,
337,de.java_chess.javaChess.game.GameImpl$GameStatus,setPly,(Lde/java_chess/javaChess/ply/Ply;)V,,,,,,x,x,,,
338,de.java_chess.javaChess.game.GameImpl$GameStatus,setMovedPieces,(J)V,,,,,,x,x,,,
339,de.java_chess.javaChess.game.GameImpl$GameStatus,setMoved,(Lde/java_chess/javaChess/position/Position;)V,,,,,,x,x,,,
340,de.java_chess.javaChess.util.UnsynchronizedArrayStack,push,(Ljava/lang/Object;)V,,,,,,x,x,,,
341,de.java_chess.javaChess.GameController,getRenderer,()Lde/java_chess/javaChess/renderer/ChessBoardRenderer;,,,,,,x,x,,,
342,de.java_chess.javaChess.renderer2d.ChessBoardRenderer2D,doPly,(Lde/java_chess/javaChess/ply/Ply;)V,,,,,,x,x,,,
343,de.java_chess.javaChess.renderer2d.PiecesLayer,doPly,(Lde/java_chess/javaChess/ply/Ply;)V,,,,,,x,x,,,
344,de.java_chess.javaChess.renderer2d.PositionRenderer,getPieceFrom,(Lde/java_chess/javaChess/renderer2d/PositionRenderer;)V,,,,,,x,x,,,
345,de.java_chess.javaChess.renderer2d.PositionRenderer,setIcon,(Ljavax/swing/ImageIcon;)V,,,,,,x,x,,,
346,de.java_chess.javaChess.GameController,gameOver,(Z)Z,,,,,,x,x,,,
347,de.java_chess.javaChess.engine.ChessEngineImpl,getCurrentGameState,(Z)B,,,,,,x,x,,,
348,de.java_chess.javaChess.engine.PlyGenerator,addRelativePliesDownward,(JIII)V,,,,,,x,x,,,
349,de.java_chess.javaChess.util.UnsynchronizedArrayStack,peek,()Ljava/lang/Object;,,,,,,x,x,,,
350,de.java_chess.javaChess.game.GameImpl$GameStatus,getPly,()Lde/java_chess/javaChess/ply/Ply;,,,,,,x,x,,,
351,de.java_chess.javaChess.game.GameImpl$GameStatus,hasBeenMoved,(Lde/java_chess/javaChess/position/Position;)Z,,,,,,x,x,,,
352,de.java_chess.javaChess.GameController,getGameNotation,()Lde/java_chess/javaChess/notation/GameNotation;,,,,,,x,x,,,
353,de.java_chess.javaChess.notation.GameNotationImpl,addPly,(Lde/java_chess/javaChess/notation/PlyNotation;)V,,,,,,x,x,,,
354,de.java_chess.javaChess.notation.PlyNotationImpl,toString,()Ljava/lang/String;,,,,,,x,x,,,
355,de.java_chess.javaChess.notation.GameNotationImpl,getNotationPanel,()Lde/java_chess/javaChess/renderer2d/NotationPanel;,,,,,,x,x,,,
356,de.java_chess.javaChess.notation.GameNotationImpl,toString,()Ljava/lang/String;,,,,,,x,x,,,
357,de.java_chess.javaChess.renderer2d.NotationPanel,setText,(Ljava/lang/String;)V,,,,,,x,x,,,
358,de.java_chess.javaChess.GameController,toggleMoveRight,()V,,,,,,x,x,,,
359,de.java_chess.javaChess.GameController,getGameTimer,()Lde/java_chess/javaChess/timer/GameTimer;,,,,,,x,x,,,
360,de.java_chess.javaChess.renderer2d.GameTimerPanel,isRunning,()Z,,,,,,x,x,,,
361,de.java_chess.javaChess.renderer2d.GameTimerPanel,start,()V,,,,,,x,x,,,
362,de.java_chess.javaChess.renderer2d.TimerPanel,start,()V,,,,,,x,x,,,
363,de.java_chess.javaChess.renderer2d.TimerPanel,run,()V,,,,,,x,x,,,
364,de.java_chess.javaChess.renderer2d.GameTimerPanel,setBlackClockRunning,()V,,,,,,x,x,,,
365,de.java_chess.javaChess.renderer2d.GameTimerPanel,setRunning,(Z)V,,,,,,x,x,,,
366,de.java_chess.javaChess.GameController,computerPly,()Z,,,,,,x,x,,,
367,de.java_chess.javaChess.engine.ChessEngineImpl,computeBestPly,()Lde/java_chess/javaChess/ply/Ply;,,,,,,x,x,,,
368,de.java_chess.javaChess.engine.ChessEngineImpl,inOpeningBook,()Z,,,,,,x,x,,,
369,de.java_chess.javaChess.engine.opening_book.OpeningBookImpl,getOpeningBookPly,()Lde/java_chess/javaChess/ply/AnalyzedPly;,,,,,,x,x,,,
370,de.java_chess.javaChess.engine.opening_book.OpeningBookImpl,findOpening,()I,,,,,,x,x,,,
371,de.java_chess.javaChess.engine.ChessEngineImpl,start,()V,,,,,,x,x,,,
372,de.java_chess.javaChess.engine.ChessEngineImpl,setSearchStop,(Z)V,,,,,,x,x,,,
373,de.java_chess.javaChess.engine.ChessEngineImpl,run,()V,,,,,,x,x,,,
374,de.java_chess.javaChess.engine.ChessEngineImpl,setSearchDepth,(I)V,x,,,,,,,,,
375,de.java_chess.javaChess.engine.ChessEngineImpl,increaseSearchDepth,()V,,,,,,,x,,,
376,de.java_chess.javaChess.engine.ChessEngineImpl,startMinimaxAlphaBeta,(Z)Lde/java_chess/javaChess/ply/AnalyzedPly;,,,,,,,x,,,
377,de.java_chess.javaChess.JavaChess$4,actionPerformed,(Ljava/awt/event/ActionEvent;)V,,,,,,,x,,,
378,de.java_chess.javaChess.renderer2d.GameTimerPanel,setBlackClockRunning,()V,,,,,,,x,,,
379,de.java_chess.javaChess.renderer2d.TimerPanel,run,()V,,,,,,,x,,,
380,de.java_chess.javaChess.engine.ChessEngineImpl,isSearchStop,()Z,,,,,,,x,,,
381,de.java_chess.javaChess.engine.ChessEngineImpl,getSearchDepth,()I,,,,,,,x,,,
382,de.java_chess.javaChess.game.GameImpl$GameStatus,-init-,(Lde/java_chess/javaChess/game/GameImpl;Lde/java_chess/javaChess/ply/Ply;Lde/java_chess/javaChess/game/GameImpl$GameStatus;)V,,,,,,,x,,,
383,de.java_chess.javaChess.game.GameImpl$GameStatus,getMovedPieces,()J,,,,,,,x,,,
384,de.java_chess.javaChess.engine.ChessEngineImpl,minimaxAlphaBeta,(Lde/java_chess/javaChess/ply/Ply;Lde/java_chess/javaChess/board/Board;ZISS)S,,,,,,,x,,,
385,de.java_chess.javaChess.engine.ChessEngineImpl,increaseAnalyzedBoards,()V,,,,,,,x,,,
386,de.java_chess.javaChess.engine.ChessEngineImpl,analyzeBoard,(Lde/java_chess/javaChess/board/Board;)S,,,,,,,x,,,
387,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,analyze,(Lde/java_chess/javaChess/bitboard/BitBoard;Z)S,,,,,,,x,,,
388,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,setMoveRight,(Z)V,,,,,,,x,,,
389,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,analyze,()S,,,,,,,x,,,
390,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,whiteHasMoveRight,()Z,,,,,,,x,,,
391,de.java_chess.javaChess.engine.BitBoardAnalyzerImpl,getGame,()Lde/java_chess/javaChess/game/Game;,,,,,,,x,,,
392,de.java_chess.javaChess.game.GameImpl,getNumberOfPlies,()I,,,,,,,x,,,
393,de.java_chess.javaChess.util.UnsynchronizedArrayStack,size,()I,,,,,,,x,,,
394,de.java_chess.javaChess.piece.PieceImpl,isWhite,()Z,,,,,,,x,,,
395,de.java_chess.javaChess.game.GameImpl,undoLastPly,()V,,,,,,,x,,,
396,de.java_chess.javaChess.util.UnsynchronizedArrayStack,pop,()Ljava/lang/Object;,,,,,,,x,,,
397,de.java_chess.javaChess.engine.hashtable.PlyHashtableEntryImpl,-init-,(Lde/java_chess/javaChess/board/Board;Lde/java_chess/javaChess/ply/Ply;I)V,,,,,,x,x,,,
398,de.java_chess.javaChess.engine.hashtable.PlyHashtableEntryImpl,setBoard,(Lde/java_chess/javaChess/board/Board;)V,,,,,,,x,,,
399,de.java_chess.javaChess.engine.hashtable.PlyHashtableEntryImpl,setPly,(Lde/java_chess/javaChess/ply/Ply;)V,,,,,,,x,,,
400,de.java_chess.javaChess.engine.hashtable.PlyHashtableEntryImpl,setSearchDepth,(I)V,,,,,,,x,,,
401,de.java_chess.javaChess.engine.hashtable.PlyHashtableImpl,pushEntry,(Lde/java_chess/javaChess/engine/hashtable/PlyHashtableEntry;)V,,,,,,,x,,,
402,de.java_chess.javaChess.engine.hashtable.PlyHashtableEntryImpl,hashKey,()J,,,,,,,x,,,
403,de.java_chess.javaChess.engine.hashtable.PlyHashtableEntryImpl,getBoard,()Lde/java_chess/javaChess/board/Board;,,,,,,,x,,,
404,de.java_chess.javaChess.engine.hashtable.PlyHashtableEntryImpl,isWhiteMove,()Z,,,,,,,x,,,
405,de.java_chess.javaChess.engine.hashtable.PlyHashtableEntryImpl,getPly,()Lde/java_chess/javaChess/ply/Ply;,,,,,,,x,,,
406,de.java_chess.javaChess.renderer2d.StatusPanel,setStatusText,(Ljava/lang/String;)V,,,,,,,x,,,
407,de.java_chess.javaChess.renderer2d.EnginePanel,modifyText,(Ljava/lang/String;)V,,,,,,,x,,,
408,de.java_chess.javaChess.renderer2d.EnginePanel,getText,()Ljava/lang/String;,x,,,,,,,,,
409,de.java_chess.javaChess.renderer2d.EnginePanel,setText,(Ljava/lang/String;)V,x,,,,,,,x,,
410,de.java_chess.javaChess.engine.ChessEngineImpl,getAnalyzedBoards,()J,,,,x,,,,,,
411,de.java_chess.javaChess.renderer2d.GameTimerPanel,toggle,()V,,,,x,,,,,,
412,de.java_chess.javaChess.renderer2d.GameTimerPanel,setWhiteClockRunning,()V,,,,x,,,,,,
413,de.java_chess.javaChess.renderer2d.TimerPanel,stop,()V,,,,x,,,,,,
414,de.java_chess.javaChess.renderer2d.TimerPanel,notifyListeners,(Ljava/awt/event/ActionEvent;)V,,,,x,,,,,,
415,de.java_chess.javaChess.renderer2d.GameTimerPanel,actionPerformed,(Ljava/awt/event/ActionEvent;)V,x,,,,,,,x,,
416,de.java_chess.javaChess.JavaChess$4,actionPerformed,(Ljava/awt/event/ActionEvent;)V,x,,,,,,,,,
417,de.java_chess.javaChess.renderer2d.NotationPanel,getWhitePlayerName,()Ljava/lang/String;,x,,,,,,,,,
418,de.java_chess.javaChess.pgn.PGNFileFilter,-init-,(ILjava/lang/String;)V,,,,x,,,,,,
419,de.java_chess.javaChess.pgn.PGNFileFilter,jbInit,()V,,,,x,,,,,,
420,de.java_chess.javaChess.pgn.PGNOutputStream,setDialogToCenter,(Ljavax/swing/JDialog;)V,,,,x,,,,,,
421,de.java_chess.javaChess.pgn.PGNFileFilter,actionPerformed,(Ljava/awt/event/ActionEvent;)V,,,,x,,,,,,
422,de.java_chess.javaChess.pgn.PGNFileFilter,getNewName,()Ljava/lang/String;,,,,x,,,,,,
423,de.java_chess.javaChess.renderer2d.NotationPanel,getBlackPlayerName,()Ljava/lang/String;,x,,,,,,,,,
424,de.java_chess.javaChess.JavaChess$4,actionPerformed,(Ljava/awt/event/ActionEvent;)V,x,,,,,,,,,
