,R01-Create Tasks,R02-Delete Tasks,R03-Maintain Task Properties,R04-Add/Remove Tasks as Subtasks,R05-Handle Milestones,R06-Create Resources (person),R07-Delete Resources (person),R08-Maintain Resource Properties,R09-Add/Remove Task Links,R10-Add/Remove Resources to Tasks Dependencies,R11-Change Task Begin/End Times manually with user changes,R12-Change Task Begin/End Times automatically with dependency changes,R13-Change Task Begin/End Times automatically with subtask changes,R14-Prevent Circular Dependencies,R16-Add/Remove Holidays and Vacation Days,R17-Show Resource Utilization (underused or overused person)
net.sourceforge.ganttproject.task.algorithm.AlgorithmBase,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.algorithm.AlgorithmCollection,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.algorithm.CriticalPathAlgorithm,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.algorithm.CriticalPathAlgorithmImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.algorithm.FindPossibleDependeesAlgorithm,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.task.algorithm.FindPossibleDependeesAlgorithmImpl,,,,,,,,,x,,,,,x,,
net.sourceforge.ganttproject.task.algorithm.ProjectBoundsAlgorithm,,x,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.algorithm.RecalculateTaskCompletionPercentageAlgorithm,,x,x,x,,,,,,,,,,,,
net.sourceforge.ganttproject.task.algorithm.RecalculateTaskScheduleAlgorithm,x,x,x,x,,,,,x,,x,x,x,,,
net.sourceforge.ganttproject.task.algorithm.ShiftTaskTreeAlgorithm,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.algorithm.SortTasksAlgorithm,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.dependency.constraint.ConstraintImpl,,,,,,,,,x,,x,x,,,,
net.sourceforge.ganttproject.task.dependency.constraint.DependencyActivityBindingImpl,,,,,,,,,x,,,x,,,,
net.sourceforge.ganttproject.task.dependency.constraint.FinishFinishConstraintImpl,,,,,,,,,x,,,x,,,,
net.sourceforge.ganttproject.task.dependency.constraint.FinishStartConstraintImpl,,,,,,,,,x,,,x,,,,
net.sourceforge.ganttproject.task.dependency.constraint.StartFinishConstraintImpl,,,,,,,,,x,,,x,,,,
net.sourceforge.ganttproject.task.dependency.constraint.StartStartConstraintImpl,,,,,,,,,x,,,x,,,,
net.sourceforge.ganttproject.task.dependency.EventDispatcher,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.task.dependency.MutableTaskDependencyCollection,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.task.dependency.RangeSearchFromKey,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.dependency.RangeSearchToKey,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.task.dependency.SearchKey,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.task.dependency.TaskDependency,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.task.dependency.TaskDependencyCollection,,,,,,,,,x,,,,,x,,
net.sourceforge.ganttproject.task.dependency.TaskDependencyCollectionImpl,,x,,,,,,,x,,,x,,x,,
net.sourceforge.ganttproject.task.dependency.TaskDependencyCollectionMutator,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.task.dependency.TaskDependencyConstraint,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.task.dependency.TaskDependencyException,,,,,,,,,x,,,,,x,,
net.sourceforge.ganttproject.task.dependency.TaskDependencyImpl,,,,,,,,,x,,,x,,,,
net.sourceforge.ganttproject.task.dependency.TaskDependencySlice,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.task.dependency.TaskDependencySliceAsDependant,,x,,,,,,,x,,,x,,x,,
net.sourceforge.ganttproject.task.dependency.TaskDependencySliceAsDependee,,x,,,,,,,x,,,x,,x,,
net.sourceforge.ganttproject.task.dependency.TaskDependencySliceImpl,,x,,,,,,,x,,,x,,x,,
net.sourceforge.ganttproject.task.event.TaskDependencyEvent,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.task.event.TaskHierarchyEvent,,,,x,,,,,,,,,,,,
net.sourceforge.ganttproject.task.event.TaskListener,x,x,x,x,,,,,x,,x,x,x,,,
net.sourceforge.ganttproject.task.event.TaskListenerAdapter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.event.TaskPropertyEvent,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.event.TaskScheduleEvent,,,,,,,,,,,x,x,x,,,
net.sourceforge.ganttproject.task.hierarchy.TaskHierarchyItem,,,,x,,,,,,,,,,,,
net.sourceforge.ganttproject.task.hierarchy.TaskHierarchyManagerImpl,,,,x,,,,,,,,,,,,
net.sourceforge.ganttproject.task.BlankLineNode,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.CustomColumEvent,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.CustomColumn,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.CustomColumnsException,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.CustomColumnsManager,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.CustomColumnsStorage,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.CustomColumnsValues,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.CustomColumsListener,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.MutableTask,,,x,,x,,,,,,x,,,,,
net.sourceforge.ganttproject.task.ResourceAssignment,,,,,,,,,,x,,,,,,x
net.sourceforge.ganttproject.task.ResourceAssignmentCollection,,,,,,,,,,x,,,,,,x
net.sourceforge.ganttproject.task.ResourceAssignmentCollectionImpl,,x,,,,,x,,,x,,,,,,x
net.sourceforge.ganttproject.task.ResourceAssignmentMutator,,,,,,,,,,x,,,,,,
net.sourceforge.ganttproject.task.Task,,x,x,x,x,,,,x,x,x,x,x,,,
net.sourceforge.ganttproject.task.TaskActivity,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.TaskActivityImpl,,,x,,,,,,,,x,x,,,,
net.sourceforge.ganttproject.task.TaskContainmentHierarchyFacade,,,,x,,,,,,,,,,,,
net.sourceforge.ganttproject.task.TaskImpl,x,x,x,x,x,,,,x,x,x,x,x,,,
net.sourceforge.ganttproject.task.TaskInfo,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.TaskLength,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.TaskLengthImpl,x,,x,,,,,,,,x,x,,,,
net.sourceforge.ganttproject.task.TaskManager,x,x,x,x,,,,,x,,x,x,x,x,,
net.sourceforge.ganttproject.task.TaskManagerConfig,x,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.TaskManagerImpl,x,x,x,x,,,,,x,,x,x,x,x,,
net.sourceforge.ganttproject.task.TaskMutator,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.TaskNode,x,x,x,x,,,,,x,,,,,,,
net.sourceforge.ganttproject.task.TaskProperties,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.task.TaskSelectionManager,x,x,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.gregorian.CachingTextFormatter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.gregorian.DayTextFormatter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.gregorian.FramerImpl,,,,,,,,,,,x,x,x,,,
net.sourceforge.ganttproject.time.gregorian.GPTimeUnitStack,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.gregorian.GregorianCalendar,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.gregorian.GregorianTimeUnitStack,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.gregorian.MonthTextFormatter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.gregorian.TimeFrameImpl,,,,,,,,,,,x,x,x,,,
net.sourceforge.ganttproject.time.gregorian.WeekFramerImpl,,,,,,,,,,,x,x,x,,,
net.sourceforge.ganttproject.time.gregorian.WeekTextFormatter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.gregorian.YearTextFormatter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.DateFrameable,,,,,,,,,,,x,x,x,,,
net.sourceforge.ganttproject.time.TextFormatter,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.TimeFrame,,,,,,,,,,,x,x,x,,,
net.sourceforge.ganttproject.time.TimeUnit,,,,,,,,,,,x,x,x,,,
net.sourceforge.ganttproject.time.TimeUnitDateFrameableImpl,,,,,,,,,,,x,x,x,,,
net.sourceforge.ganttproject.time.TimeUnitFunctionOfDate,,,,,,,,,,,x,x,x,,,
net.sourceforge.ganttproject.time.TimeUnitFunctionOfDateImpl,,,,,,,,,,,x,x,x,,,
net.sourceforge.ganttproject.time.TimeUnitGraph,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.TimeUnitImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.TimeUnitPair,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.TimeUnitStack,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.time.TimeUnitText,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.undo.GPUndoListener,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.undo.GPUndoManager,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.undo.UndoableEditImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.undo.UndoManagerImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.util.BrowserControl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.util.ColorConvertion,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.util.DateUtils,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.util.FileUtil,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.util.GetEnv,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.util.TextLengthCalculator,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.util.TextLengthCalculatorImpl,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.ChartComponentBase,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.ErrorNotifier,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.FacadeInvalidator,,,,x,,,,,,,,,,,,
net.sourceforge.ganttproject.GanttCalendar,,,x,,,,,,,,x,x,x,,,
net.sourceforge.ganttproject.GanttCalendarDays,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.GanttChartTabContentPanel,,,,x,,,,,x,,,,,,,
net.sourceforge.ganttproject.GanttExportSettings,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.GanttGraphicArea,,,x,,,,,,x,,x,x,,,,
net.sourceforge.ganttproject.GanttImagePanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.GanttOptions,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.GanttPreviousState,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.GanttPreviousStateTask,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.GanttProject,x,x,x,,,x,x,x,,x,,,,,,
net.sourceforge.ganttproject.GanttProjectBase,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.GanttResourcePanel,,,,,,x,x,x,,x,,,,,,
net.sourceforge.ganttproject.GanttSplash,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.GanttTask,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.GanttTaskRelationship,,,,,,,,,x,,,,,,,
net.sourceforge.ganttproject.GanttTree2,x,x,x,x,,,,,x,,x,,x,,,
net.sourceforge.ganttproject.GanttTreeTable,x,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.GanttTreeTableModel,,,x,x,,,,,,,,,,,,
net.sourceforge.ganttproject.GanttViewer,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.GPToolBar,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.GPView,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.GPViewManager,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.IGanttProject,x,,,x,,,,,,,,,,,,
net.sourceforge.ganttproject.Mediator,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.PrjInfos,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.ProjectEventListener,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.ResourceChartTabContentPanel,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.ResourceLoadGraphicArea,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.ResourceTreeImageGenerator,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.ResourceTreeTable,,,,,,,,x,,,,,,,,
net.sourceforge.ganttproject.ResourceTreeTableModel,,,,,,x,x,x,,x,,,,,,
net.sourceforge.ganttproject.TaskContainmentHierarchyFacadeImpl,,,,x,,,,,,,,,,,,
net.sourceforge.ganttproject.TaskModelModificationListener,,,x,,,,,,,,,,,,,
net.sourceforge.ganttproject.TaskTreeImageGenerator,,,,,,,,,,,,,,,,
net.sourceforge.ganttproject.UIFacadeImpl,,,,,,,,,,,,,,,,
